"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Valrhona,Manjari,129,2007,64%,France,4.0,"Criollo, Trinitario",Madagascar
Original Beans (Felchlin),"Grand Cru Blend No.1, 5 yr. Anniversary Ed",1442,2014,80%,Switzerland,3.25,Blend, 
Potomac,Upala w/ nibs,647,2011,70%,U.S.A.,3.5,Matina,Costa Rica
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70%,U.S.A.,3.5, ,Nicaragua
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia
Salgado,Rio Arriba,292,2008,70%,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador
Cacao Store,Madagascar,1684,2015,70%,Japan,3.0,Trinitario,Madagascar
Kaoka (Cemoi),Noir,404,2009,70%,France,2.75, , 
Woodblock,Gran Couva,1042,2013,70%,U.S.A.,3.5,Trinitario,Trinidad
Dormouse,"Colombia, Batch 9",1676,2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia
Soma,Ocumare,387,2009,70%,Canada,3.75,Criollo,Venezuela
Mast Brothers,"Dominican Republic, Coop",572,2010,70%,U.S.A.,3.25, ,Dominican Republic
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3.0,Trinitario,Madagascar
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep."
Mayacama,Hispaniola,1728,2016,72%,U.S.A.,3.0, ,Domincan Republic
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4.0,Amazon mix,Costa Rica
Mars,"Matina 1-6, prototype",537,2010,65%,U.S.A.,3.0, ,Costa Rica
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Tablette (aka Vanillabeans),Vietnam,1450,2015,60%,Japan,3.25,Trinitario,Vietnam
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2.5,Nacional,Ecuador
